funding,rounds,status
375000,3,1
40100000,4,1
2600000,1,1
40000000,3,1
1300000,2,0
7500000,1,0
26000000,3,1
34100000,3,1
9650000,3,1
5750000,3,1
27500000,3,1
10400000,5,0
350000,1,0
9950000,3,1
10700000,5,1
200000,1,0
49000000,5,0
25000000,4,1
4575000,3,1
28000000,2,0
4355000,2,1
15000000,1,0
3170000,1,0
2300000,2,0
455000,2,0
13000000,1,1
15000000,1,1
3800000,1,1
299500000,5,1
1000000,1,1
10500000,2,0
8600000,2,1
5000000,2,0
2304999,2,1
25000,1,0
4000000,1,0
14600000,2,0
44000000,3,0
1822922,3,1
29915001,7,1
33000000,4,1
125000,2,1
4000000,2,0
10000000,1,1
6000000,1,1
25000000,1,1
3750000,3,1
3000000,1,1
1155000,2,1
10000000,1,1
3000000,1,1
11500000,2,1
5000000,1,1
29000000,2,1
34700000,6,1
12050000,2,0
12000000,3,1
5500000,1,1
24000000,3,1
10000000,2,1
19009671,3,0
5000000,1,0
18914576,5,1
4000000,1,0
2030882,3,1
5000000,1,1
20500000,1,0
13250000,2,1
12000000,1,1
11489687,3,1
4000000,1,1
355000,1,1
118000,2,1
40400000,4,1
3000000,1,0
19700000,2,0
17800000,2,0
57500000,3,1
17200000,3,1
457282,7,0
18500000,4,1
12000000,1,0
510000000,2,0
18250000,2,1
41500019,4,1
1000000,1,0
5000000,1,1
42700000,3,0
12000000,1,0
22300000,2,1
10000000,2,1
15564591,3,0
500000,1,1
8950000,2,1
55350000,4,1
4000000,1,0
10764323,5,1
5500000,1,0
400000,1,1
54000000,3,0
32000000,1,0
13000000,1,1
12500000,3,1
38064570,4,1
6000000,2,1
5000000,2,0
59000000,3,1
1000000,1,0
600000,1,1
125000000,2,0
2750000,2,1
30000000,2,1
7000000,1,0
6100000,1,1
2100000,3,0
2565000,2,1
2000000,1,0
22400000,3,1
6250000,1,1
575000,1,1
53000,2,0
9500000,2,1
3500000,2,0
10500000,3,1
34250000,4,1
85381111,5,1
100000000,3,1
125000,2,0
10600000,2,0
26100000,3,1
30000000,1,1
132885,3,0
9500000,3,1
18000000,1,1
690000,1,0
25131611,3,1
2000000,1,0
78750000,3,1
48500000,5,1
15000000,1,0
74000000,5,1
15000000,2,1
45000000,3,0
4410000,1,1
4500000,2,1
11040000,3,1
1600000,1,1
9000000,2,1
3282327,3,1
24700000,2,1
8800000,2,0
1700000,1,0
20000,1,0
11500000,2,1
98170000,7,0
1350000,1,1
940261,1,1
4000000,2,1
5000000,1,0
20000,1,0
12500000,1,1
7228704,5,0
55000000,2,0
15180000,4,1
30000000,2,0
14500000,2,1
6500000,1,1
15000,1,0
4705910,5,1
3000000,1,1
125250000,6,1
1449998,4,0
6000000,2,1
28200000,3,1
14000000,2,1
3000000,1,0
2238055,2,0
5200000,2,0
75000000,1,1
24500000,4,0
4476171,3,0
10400001,3,1
68400000,3,1
15200000,2,1
890000,2,0
2600000,1,0
1226270,1,1
9000000,2,1
7210210,4,1
15700000,2,1
15050000,2,1
3500000,2,1
43000000,2,0
57000000,2,1
1300000,1,1
69750000,4,1
14500000,2,1
48000000,2,0
3508462,2,0
19500000,3,1
3750000,1,1
45000000,1,0
32500000,4,0
4900000,2,1
12000000,2,0
7175000,3,1
4700000,2,0
120000,1,0
10000000,3,1
39000000,4,0
16100000,2,1
3300000,2,1
750000,1,1
1000000,2,0
7410000,1,0
52800000,3,1
37000000,3,0
14229998,3,1
3000000,2,1
20000000,1,1
2000000,2,1
19900000,2,1
1500000,1,0
325000,1,0
3500000,1,0
30000000,4,0
50000000,1,1
2000000,1,1
72000000,6,1
27690547,3,1
9000000,1,0
7500000,2,1
10000000,2,1
5965000,4,1
4000000,1,1
5000000,1,0
11500000,1,1
1050000,2,0
5500000,2,1
5000000,3,1
3700000,2,0
7000000,2,0
32000000,2,0
7900000,3,1
80000000,5,1
5000000,1,0
2100000,2,1
22250000,4,1
